word,part_of_speech,japanese,chap,memorized,error
rather,副詞,いくぶん、少し、やや、ある程度は,3,,
industrious,形容詞,勤勉な、いつも熱心な,3,,
used to be,熟語/慣用表現,(以前は) よく〜したものだ、(かつては) 〜だった,3,,
prominent,形容詞,卓越した,3,,
scholar,名詞,学者,3,,
efficient,形容詞,効率的,3,,
instructive,形容詞,教育的,3,,
litigious,形容詞,口煩い,3,,
pleasant,形容詞,楽しい、愉快な、心地よい,3,,
nearby,形容詞,最寄りの、近くの,3,,
over there,熟語/慣用表現,あそこ、向こう、彼方,4,,
posh,形容詞,しゃれた、豪華な,4,,
resemble,他動詞,同様にする、似ている,4,,
quite,形容詞,まあまあ、割と、まったく,4,,
variety,名詞,色々の,4,,
possibility,名詞,ありうること、起こりうること、可能性、実現性,4,,
genetics,名詞,遺伝学,4,,
pretty (形容詞),形容詞,可愛らしい、快い、楽しい、かなりの、相当な,4,,
pretty (副詞),副詞,かなり、相当、非常に、とても,4,,
obvious,形容詞,明らかな、明白な,4,,
senator,名詞,上院議員,4,,
scratch,他動詞,掻く、引っ掻く、傷つける,4,,
disappoint,他動詞,失望させる、がっかりさせる,4,,
disappointed,形容詞,失望した、がっかりした,4,,
recreational,形容詞,気晴らしの,4,,
be pleased with 〜,熟語/慣用表現,〜を喜ぶ、〜が気に入っている,4,,
interpreter,名詞,通訳,4,,
keep in mind,熟語/慣用表現,心に留める,4,,
now on,熟語/慣用表現,今後,4,,
ministry,名詞,省,4,,
upset (動詞),他動詞,心を乱す、ろうばいさせる、かき乱す,5,,
upset (形容詞),形容詞,取り乱している,5,,
hold (抱く以外の意味),他動詞,催す,5,,
however (複合関係副詞+形容詞/副詞),熟語/慣用表現,どんなに〜しても,5,,
occur,自動詞,起こる、生じる,5,,
quit,他動詞,(勤め・学校などを) やめる,5,,
be rid of,熟語/慣用表現,〜を免れる、〜から解放される,5,,
get rid of,熟語/慣用表現,(好ましくないことから) 抜け出す、免れる,5,,
part (動詞),他動詞,引き離す、分ける,5,,
through (前置詞),前置詞,〜を通り抜けて、〜を貫いて,5,,
linguist,名詞,言語学者,5,,
exact,形容詞,正確な,5,,
matter,名詞,事柄、問題、事件、事、件,5,,
can't figure out,熟語/慣用表現,分からない (can't を使って慣用表現で),5,,
manage to,熟語/慣用表現,何とか,5,,
such,形容詞,そのような,5,,
suddenly,副詞,突然、不意に、急に,5,,
either,形容詞,どちらの,6,,
neither,形容詞,どちらの〜も〜でない (eitherの反対),6,,
round (形容詞),形容詞,丸い、円形の,6,,
oval,形容詞,卵形の、楕円形の,6,,
antique,形容詞,骨董の、アンティークの,6,,
fallen,形容詞,落ちた、倒れた,6,,
talented,形容詞,(生まれつき) 才能のある、有能な,6,,
rotten,形容詞,腐った、腐敗した,6,,
brick (形容詞),形容詞,レンガの、レンガ色の,6,,
fairly,副詞,けっこう、相当に、いくらか、いくぶん,6,,
competent,形容詞,能力 (力量) のある、的確な、適任の、堪能な,6,,
attractive,形容詞,(外見から見て) 魅力的な (性的な魅力も含む),6,,
two-storied,形容詞,2階建て,6,,
manufacturer,名詞,製造業者、メーカー、製造会社,6,,
recently,副詞,最近、ついこの間,6,,
disposable,形容詞,使い捨ての、自由に使える,6,,
camcorder,名詞,ポータブルビデオカメラ,6,,
receive,他動詞,受け取る、受領する,6,,
numerous,形容詞,多数の,6,,
huge,形容詞,巨大な、莫大の,6,,
vistas,名詞,眺め、眺望,6,,
benefit,名詞,利益,6,,
humanity,名詞,人類、人間,6,,
explanation,名詞,説明、弁明,6,,
proposal,名詞,提案、申し出,6,,
be reminded (of 時代),熟語/慣用表現,(〜の時代を) 思い起こす,6,,
float,自動詞,漂う、浮動する,7,,
get a promotion,熟語/慣用表現,昇進する,7,,
far into the night,熟語/慣用表現,夜遅くまで,7,,
appreciate,他動詞,価値を認める、正しく評価する,7,,
recognition,名詞,承認、認可、認識,7,,
recognize,他動詞,(それと) わかる、認識する,7,,
ever,副詞,これまでに、かつて、一度でも,7,,
never,副詞,(これまで一度も) したことがない,7,,
then,副詞,その時、その頃、あの頃は,7,,
must have p.p.,熟語/慣用表現,〜したに違いない、〜だったに違いない,7,,
ideal,形容詞,理想的な、申し分のない,7,,
pleasure,名詞,喜び、楽しさ、愉快,7,,
prosperous,形容詞,繁栄している、(経済的に) 成功した,7,,
assignment,名詞,割り当てられた仕事,7,,
hand (動詞),他動詞,(人に物を) 渡す,7,,
guess,他動詞,提案する,7,,
ought to,熟語/慣用表現,〜すべきだ、〜のはずだ,7,,
successful,形容詞,成功した、好結果の,7,,
compete,自動詞,競争する、張り合う,7,,
along with O,熟語/慣用表現,Oと一緒に (together以外の表現で),7,,
suburb,名詞,郊外,7,,
even,副詞,でさえも,7,,
take a look at,熟語/慣用表現,ちらっと見る,7,,
cannot be too 〜,熟語/慣用表現,いくら〜しても、しすぎることはない,7,,
would not 〜,熟語/慣用表現,どうしても〜しようとはしなかった,7,,
eat out,熟語/慣用表現,外食する,7,,
glad,形容詞,嬉しく思う,8,,
unable to 原V,形容詞,(人がVすることが) できない,8,,
go off,自動詞,(人が) 消える、立ち去る,8,,
ambulance,名詞,救急車,8,,
almost,副詞,ほとんど,8,,
at this time tomorrow,熟語,明日の今頃 (慣用表現),8,,
compare,他動詞,比較する,8,,
fly to,熟語/慣用表現,飛行機で向かう (慣用表現),8,,
astonish,他動詞,大いに驚かす、仰天させる,9,,
injure,他動詞,傷つける、痛める,9,,
injured,形容詞,傷ついた,9,,
delight (動詞),他動詞,大喜びさせる、とても嬉しくさせる,9,,
delight (名詞),名詞,大喜び、歓喜、大満足,9,,
delighted,形容詞,喜んで,9,,
satisfy,他動詞,満足させる,9,,
devote (be devoted to 〜),他動詞,尽くす、捧ぐ,9,,
deteriorate,自動詞,悪化する,9,,
paint/draw,他動詞,描く (筆などで) / 描く (固いもので) ※両方答える),9,,
admire,他動詞,感心する、敬服する,9,,
assume,他動詞,本当だと思う、想定する,9,,
hurt,他動詞,傷つける、怪我をさせる,9,,
defeat,他動詞,相手を破る、負かす,9,,
resignation,名詞,辞職、辞任,9,,
achivement,名詞,業績、功績、成果,9,,
amuse,他動詞,面白がらせる、楽しませる,9,,
concern,他動詞,関係する、影響する,9,,
further,副詞,更に遠くに,9,,
annual,形容詞,年次の,9,,
be engaged in 〜,熟語/慣用表現,〜に没頭する (慣用表現),9,,
suggest,他動詞,提案する,10,,
postpone,他動詞,延期する,10,,
insist on/upon O,自動詞,Oすることを要求する、言い張る,10,,
attend,他動詞,出席する、参加する,10,,
definitely,副詞,確かに、間違いなく,10,,
employ,他動詞,雇う,10,,
desirable,形容詞,望ましい、手に入れたくなる,10,,
illness,名詞,病気 (の状態),10,,
harass,他動詞,嫌がらせをする、困らせる,10,,
court (名詞),名詞,法廷、裁判所,10,,
court (動詞),他動詞,機嫌をとる、歓心を得ようとする,10,,
delightedly,副詞,喜んで、嬉しくて,10,,
somewhat,副詞,いくぶん、多少、やや,11,,
hardly,副詞,ほとんどない,11,,
surely,副詞,確かに、きっと、間違いなく,11,,
possibly,副詞,ひょっとしたら,11,,
fortunately,副詞,幸運にも,11,,
loud,形容詞,大きい、うるさい,11,,
somewhere,副詞,どこかで,11,,
elegantly,副詞,上品な、優雅な,11,,
seldom,副詞,滅多にない,11,,
conduct,他動詞,(実験・調査などを) 行う、管理する,11,,
desert (形容詞),形容詞,人の住まない、砂漠の,11,,
barely,副詞,かろうじて,11,,
rarely,副詞,めったにない,11,,
merely,副詞,たかが〜にすぎない,11,,
scarcely,副詞,"ほとんどない、かろうじて (hardly, barely 以外で)",11,,
frequently,副詞,しばしば、度々、頻繁に,11,,
once,副詞,一度,11,,
absolutely,副詞,絶対に,11,,
apparently,副詞,どうやら〜らしい,11,,
polite,形容詞,丁寧な、礼儀正しい,11,,
ease (名詞),名詞,容易さ、たやすさ,11,,
admit,他動詞,(事実であると) 認める,11,,
intention,名詞,意図、意向,11,,
trouble,名詞,心配、苦悩、悩み、不調、病気、障害,11,,
flankly,副詞,率直に、ありのままに,11,,
out of date,熟語/慣用表現,時代遅れ,11,,
concentrate on 〜,熟語/慣用表現,〜に集中する,11,,
anecdote,名詞,逸話、小話、秘話,11,,
harassed,形容詞,疲れきった,11,,
approve (自動詞),自動詞,妥当だと認める、賛成する,11,,
approve (他動詞),他動詞,承認する,11,,
postage,名詞,郵便料金,12,,
courtesy,名詞,礼儀正しさ、丁寧さ,12,,
in order to 〜 / so as to 〜,熟語/慣用表現,〜するために,12,,
away,副詞,離れて、去って,12,,
unicycle,名詞,一輪車,12,,
avoid,他動詞,避ける、未然に防ぐ,12,,
deny,他動詞,否定する、事実でないという,12,,
defend,他動詞,守る、防御する,12,,
embarrass,他動詞,困らせる、恥ずかしい思いをさせる,12,,
horrible,形容詞,ひどく嫌な、とても深いな、恐ろしい、身の毛のよだつような,12,,
burst,自動詞,破裂する、爆発する,12,,
above,前置詞,上に (前置詞),12,,
surrounding,名詞,まわりにあるもの、周囲の状況・環境,12,,
climate,名詞,気候,12,,
perform,他動詞,(仕事などを) 行う、果たす、成し遂げる,12,,
properly,副詞,きちんと、正しく、適切に,12,,
although,接続詞,けれども、〜にも関わらず、確かに〜だが,12,,
wound,名詞,傷、外傷、怪我,12,,
seriously,副詞,真面目に、真剣に、本気で,12,,
Generally speaking,熟語/慣用表現,【慣用的独立分詞構文】一般的に言うと,12,,
Strictry speaking,熟語/慣用表現,【慣用的独立分詞構文】厳密に言うと,12,,
Frankly speaking,熟語/慣用表現,【慣用的独立分詞構文】率直に言って,12,,
Talking of Tim,熟語/慣用表現,【慣用的独立分詞構文】ティムといえば,12,,
Speaking of myself,熟語/慣用表現,【慣用的独立分詞構文】私のことを言えば,12,,
Considering his age,熟語/慣用表現,【慣用的独立分詞構文】年の割には,12,,
Granting that what you are saying is true,熟語/慣用表現,【慣用的独立分詞構文】あなたの言っていることが本当だとして,12,,
Given that this is true,熟語/慣用表現,【慣用的独立分詞構文】これが本当だとすれば,12,,
Judging from the look of the sky,熟語/慣用表現,【慣用的独立分詞構文】空模様から判断すると,12,,
competitive,形容詞,競争的な、他に負けない,12,,
deal (名詞),名詞,量、程度,12,,
deal (動詞),他動詞,配る、与える、分ける,12,,
culprit,名詞,犯人、容疑者、元凶,12,,
aloud,副詞,(人に聞こえるほどに) 声に出して,12,,
passage,名詞,通路、廊下、通行,12,,
elementary,形容詞,(学習のレベルが) 初歩の、初等の、初級の、単純な、簡単な,12,,
hunger,名詞,飢餓,12,,
criticize,他動詞,批判する、非難する,12,,
manuscript,名詞,原稿,12,,
